,New Code,OPs
25,OP2069,Mapping of business definitions to taxonomies | Mapping business definitions to pre-defined taxonomies allows the establishment of relationships between business terms to show how they relate to one each other. Mapping to taxonomies also makes it easier for users to search for terms and provides a link for business terms between technical and business entities.
26,OP15,Definition of guidelines to avoid including unintended bias in business term definitions | Definition of standard and shared guidelines to avoid including unintended bias in business term definitions
27,OP16,Validation that business term definitions are free of unintended bias | Capability to validate business terms definitions against defined guidelines to avoid including unintended bias
28,OP17,Periodic examination that business term definitions are free of unintended bias | Implementation of a process that review periodically ethical sensitive business terms definition to ensure that they are still free of unintended bias
29,OP18,Establishment of business term definitions for ethical sensitive data | Definition of standard and shared business terms definition for ethical sensitive data
30,OP19,Approval of defined business term definitions for ethical sensitive data | Capability to review and approve defined business term definitions for ethical sensitive data
31,OP20,"Communication of approved business definitions for ethical sensitive data | Process, responsibilities and tools definition and enforcement for communicating defined defined business term definitions for ethical sensitive data within the appropriate audience"
32,OP1693,Designation of metadata management stakeholders | Designation of stakeholders to be responsible for the appropriate management of metadata within the organization. These stakeholders shall be responsible for the usage of standardized metadata throughout the lifecycle of data elements. The contact information and titles of designated stakeholders should be documented and updated when changes are made to have a clear oversight of metadata management responsibilities.  
33,OP1690,Establishment of data definitions & valid values | 
34,OP1740,"Implementation of metadata repository | Implementation of a metadata repository to have a centralized location to store metadata within the organization. The metadata repository shall ensure the accuracy between business data elements and its many physical implementations. Metadata providers should be encouraged to store metadata in a single, enterprise-wide accessible repository to protect the integrity of the metadata."
35,OP1747,"Establishment of metadata quality control | Establishment of metadata quality control provides a greater confidence in the quality of metadata being consumed and used within the organization. The level of quality control shall vary based on the nature of the metadata's usage and the organization's metadata specifications. Metadata quality controls shall include evaluating the completeness of metadata (whether there is missing or incomplete information about the data element), the accuracy of metadata (whether the values accurately describe the data element) and the consistency of metadata (whether the values are used consistently throughout the worksheet)"
36,OP1694,Implementation of tracking mechanisms for metadata | Implementation of tracking mechanisms for metadata allows the organization to monitor the usage and creation of metadata throughout the organization. Tracking mechanisms should include some automated capabilities to flag moments where metadata usage or quality is not aligned with the organization's specifications for metadata management.
37,OP1954,"Establishment of data catalog | A Data Catalog is a collection of metadata, combined with data management and search tools, that helps analysts and other data users to find the data that they need, serves as an inventory of available data, and provides information to evaluate fitness data for intended uses."
38,OP2059,"Definition of basic metadata to be captured for data elements | The data elements aligned to a data domain must have basic metadata captured including but not limited to source, term name, term definition, field name and field location. The basic metadata is required to make the data accessible. As data is prioritized based on business needs and business process criticality the data policy will require a more comprehensive set of business and technical metadata to be captured."
39,OP2191,"Automation of data catalog capabilities | Automation is essential to efficient and effective maintenance of the data catalog. The data catalog should automatically define, capture, relate and share metadata if it is practical. Examples include:
- Metrics, KPIs and SLAs and data ownership to support data profiling and data quality management
- Classification of data properties to specify sensitivity
- Capture of provenance information, including data origin and footprint to support tracing and authoritative sourcing
- Lifecycle metadata to manage dataset maturity and enable records retention, archival, disposal policy
- Usage metadata to audit access, purpose, sharing and ethical use of data."
40,OP2192,"Establishment of data catalog interoperability | Data catalog interoperability is an important capability in multi-cloud or hybrid-cloud environments. Enabling data catalog interoperability between platforms and applications is achieved by defining structure using:
• Catalog metadata naming standards and a catalog information model for data sets.
• Relationships between data sets.
• Data services.
Establishing these standards and models is essential to integration and consistency when sharing or combining catalogs."
41,OP1966,Monitoring of business metadata capture | The capture of business metadata must be continually monitored to ensure captured metadata fits with the organization's metadata model. This also ensures the quality of metadata.
42,OP160,Definition of metadata scope to be captured during model development | Definition of a metadata model that allows capture of relevant model metadata that explain model decisions during model development phase
43,OP161,Capture of required metadata to explain model decisions | Definition and enforcement of process and responsibilities to capture and document required metadat to explain model decisions
44,OP162,Approval of captured metadata for explainability | Process and responsibilities definition and enforcement to approve captured model metadat for explainability
45,OP163,Definition of metadata model | Design and implemention of an enterprise-wide standard metadata model
46,OP1958,Definition of metadata model for DM initiative | Definition of a data model for the metadata repository to be used by the Data Management initative. Metadata model shall explain the relationships between systems containing metadata as well as detailing the elements and processes of the model. 
47,OP164,Governance of metadata model | Design and implementation of a process that formally governs adoption and maintenace of the metadata model by each data domain.
48,OP165,Monitoring gaps in metadata model usage | Design and implementation of a process that identifies gaps between the enterprise metadata model and metadata specific to each business process within a data domain.
49,OP166,Establishment of capability to resolve metadata model usage issues | Establishment of a metadata model issue resolution capability to resolve metadata model usage gaps and provide continous stakeholder communication
50,OP234,Demonstration that source metadata is available | 
51,OP235,Validation of access to required transformation metadata | 
52,OP236,Extraction of metadata included in AML data lineage | 
53,OP2098,"Analysis of data retention regulatory requirements | A comprehensive overview / analysis of constraining frameworks containing explicit or implied data retention (minimum) and non-retention (maximum) requirements is required to ensure compliance. These frameworks shall include: 
- Legal frameworks in all relevant enterprise jurisdictions (both where the enterprise operates and where the associated parties reside – clients, suppliers, partners, …)
- Regulatory frameworks in all relevant enterprise jurisdictions, prioritizing those that are the object of internal or external audits
- Ethical frameworks in all relevant enterprise jurisdictions"
54,OP2099,"Analysis of data retention business requirements | A comprehensive overview / analysis of data use cases and needs (exploration, retrieval, analytics, enrichment, sharing, ....) is required to identify the data retention and non-retention requirements, if any, stemming from business needs, data protection requirements and corporate practices"
55,OP2100,"Assessment of business needs against regulatory requirements | A risk assessment is required to balance data use needs with data retention constraints (legal, regulatory, ethical, protection). It is recommended to consider the likely evolution of legal, regulatory, ethical, data-use and protection context to not only evalute the present, but to include the near future in the assessment as well. "
56,OP2101,"Establishment of data retention schedules | Data retention schedules are required for the different types of data handled by the organization. They shall set out the minimum and maximum retention periods and shall be defined per data domain (eg., Finance, HR, Passenger Information, Marketing, etc) and may be further detailed, if relevant, by other criteria such as:
- Environment (ex. production, test; secure data room, remote user workstations, mobile devices)
- Use cases (ex. data exploration, analytics, forensics, legal investigation)
- Data access levels (ex. hot, cold / archived)
- Data protection levels (ex. cleartext, de-identified, access-controlled)
- Data storage platforms (ex. data warehouse, analytics application, operational system such as ERP)
- Data structure levels: structured, unstructured, partially structured (ex. database tables, as well as Excel files, Microsoft Office documents, e-mails, social-media content, …) 
- Data digitization levels: electronic and paper documents
- Data infrastructure platforms: on-premise,  cloud; databases, applications, file systems, …
- Data storage platforms: operational systems – ex. ERP, CRM; data warehouses, data lakes, AI/ML models, analytics tools and platforms, reports, applications, metadata platforms (ex. ETL tools, data catalogs) 
- Jurisdictions (legal, geopolitical: ex. corporate branches, residency of customers, operating jurisdictions of business partners, …)"
57,OP2102,"Definition of guidelines for operationalizing retention schedules | Guidelines are required for the interpretation and operationalization of data retention schedules. They shall provide guidance such as when additional retention may be required for legal hold, when data should be purged vs archived and recommendations for supporting technologies"
58,OP2103,"Definition of roles & responsibilities for data retention policy | Clear roles and responsibilities are required to ensure the operationalization of the data retention policy. For each role, the expected technical expertise and data retention knowledge should be documented to help with their assignment. Roles and responsibilities shall be defined and documented, to: 
- Maintain, approve, and socialize the retention policy
- Operationalize (execute) the retention policy
- Oversee the successful application of the retention policy"
59,OP2104,"Definition of success criteria metrics for data retention | Success criteria metrics must be defined along with thresholds quantifying success levels of retention. The metrics shall cover all aspects of data retention operationalization, including:
- Data disposal (Destruction & Archiving)
- Data storage
- All variables based on which retention (storage) and non-retention (disposal) periods are defined in the Policy; these shall include, in particular:
   - Storage levels (ex. hot/cold), when relevant (i.e. when retention periods are defined based on such levels)
   - Data domains and other relevant groupings of data elements, based on which retention periods are defined
   - Data stores, systems, platforms, processes, and any other parameters which serve to determine some (if not all) retention periods"
60,OP2105,"Definition of data retention policy | Initial definition of a corporate Data Retention policy is a foundational activity, which should be planned and performed proactively, as an integral component of risk mitigation, independently of any specific project, technical or corporate-environment triggers. However, an increase in specific risk factors (see below) or the status-quo of ad-hoc, uncoordinated silo-confined (project- or data-specific) retention / non-retention actions (ex. data archiving) significantly increases the urgency of defining or refining a Data Retention policy for the enterprise."
61,OP2106,Approval of data retention policy | 
62,OP2107,"Socialization of data retention policy | The socialization of the approved data retention policy is required for its operationalization. The data retention policy shall be:
- Made available to all interested parties
- Read by all interested parties
- Understood by all interested parties"
63,OP2108,"Assignment of roles & responsibilities for data retention policy | Roles and responsibilities shall be assigned, as documented, to: 
- Maintain, approve, and socialize the retention policy
- Operationalize (execute) the retention policy
- Oversee the successful application of the retention policy"
64,OP2109,Definition of triggers for data retention policy update | 
65,OP2110,"Update of data retention policy | Updating the Data Retention policy is generally triggered by a change to any aspect of the corporate environment that is relevant to data retention and that affects the risk of not implementing said retention, including: 
- Change in the set of applicable legal frameworks relevant to retention (ex. following the acquisition of an international business partner, or expansion of operations to a different jurisdiction, or cessation of operations in a jurisdiction, in which case some previously-relevant legal frameworks no longer apply; alternatively: change in the range of jurisdictions of customers, business partners or other relevant parties, if such change modifies which legal frameworks apply)
- Change in the content of existing applicable legal frameworks relevant to retention (ex. new or modified legal provisions that impact retention) 
- Change in the set or content of applicable, especially audited, regulatory frameworks relevant to retention
- Change in the set of audits, internal or external, relevant to retention
- Change in the set of content of applicable ethical frameworks relevant to retention
- Change in the nature, scope or content of data use scenarios, which impact data collection needs (ex. expansion of AI/ML functionality, processing of new data sets, addition of new analytics tools or use cases) 
- Change in the set of internal or external corporate data that is processed (ex. acquisition of new data sets, sharing of data with new partners)
- Change in data protection requirements, frameworks or risk (the latter triggered, notably, by security breaches)"
66,OP2380,"Analysis of data retention requirements (In the lab and In the field) | Analysis of data use cases and needs (exploration, retrieval, analytics, enrichment, sharing, ....) regarding the data retention and non-retention requirements, if any, stemming from business needs, data protection requirements and corporate practices"
67,OP2111,Assessment of current state of data retention | 
68,OP2112,"Analysis of gaps between current state and data retention policy | Capability to identify and document the gaps between the organization's current state (in terms of data retention processes, standards, policies, technology, resources) and the target state set out by the defined data retention policy. This gap analysis shall strongly influence the prioritization of data retention implementation activities."
69,OP2113,"Establishment of prioritization criteria for data retention | Creation of template / guidelines for assigning priorities to combinations of retention-policy implementation activities, data elements, and, optionally, systems/processes "
70,OP2114,"Prioritization of data retention policy implementation activities | Creation of a prioritized list of data retention activities and data elements as well as, optionally, systems/processes to which those activities shall be applied"
71,OP2115,Establishment of roadmap for data retention policy implementation | Creation of a roadmap laying out the incremental implementation of the data retention policy through a set of activities and controls. The roadmap shall include the major steps and milestones needed to go from the current state to the target state laid out by the retention policy.
72,OP2116,"Identification of dependencies for data in retention scope | Capability to identify and document for the set of data elements to be retained or disposed (henceforth designed as Target Data):
- Data dependent on target data: Dependant data will generally need to be disposed along with the target data in order to maintain data consistency (ex. to avoid data referring to other data which no longer exists. The two main categories of dependent data are data which refers to the target data (eg. parent-child relationships) and data which is derived from the target data (chain of derivations from target data)
- Data on which the target data depends: Such data may be retained or not, along with the target data, depending on the terms of the retention policy for target data"
73,OP2199,"Creation of a data retention plan for project data (In the Lab and In the field) | Establishing and creating a project data retention management plan for data ""In the Lab"" and ""In the field"", as per the context of the project"
74,OP2202,"Review and approval of project's data retention management plan | Reviewing, validating and approving the project's established data retention management plan"
75,OP2117,"Creation of timestamps for data retention | Establishing and creating timestamps for data covered by data retention schedule, as per the context of the project"
76,OP2118,"Definition of retention monitoring framework | A retention monitoring framework must be defined and aligned with the success criteria metrics defined. The framework shall be centered on: 
- Measuring actual retention periods (essentially, resulting from data disposal operations – destruction and archiving)
- Comparing actual retention periods with those prescribed in the Data Retention Policy
- Identifying and reporting deviations between actual and prescribed retention"
77,OP2119,"Definition of processes for retention monitoring  | Processes must be defined for monitoring aspects of retention – essentially, data disposal (destruction, archiving), along with their workflows (operational, escalation, oversight, remediation) and actors shall be: 
- Defined 
- Approved
- Documented and communicated/socialized to all relevant stakeholders
- Implemented
- Governed (through oversight and issue resolution)
 Procedures – manual, automated, or hybrid – and supporting software (third-party tools, in-house reporting applications, etc.) - for collecting and documenting retention metrics; developing, executing, and scheduling retention monitoring reports; analyzing report results and taking appropriate corrective action. Note: metadata management solutions should be leveraged when available, ex. business glossary and data catalog for storing/maintaining prescribed vs. actual retention periods."
78,OP2131,"Definition of procedures for retention monitoring |  Procedures – manual, automated, or hybrid – and supporting software (third-party tools, in-house reporting applications, etc.) - must be defined for collecting and documenting retention metrics; developing, executing, and scheduling retention monitoring reports; analyzing report results and taking appropriate corrective action. Note: metadata management solutions should be leveraged when available, ex. business glossary and data catalog for storing/maintaining prescribed vs. actual retention periods."
79,OP2120,"Design of metadata management solutions for data retention, lineage and traceability | Metadata management solutions, if and as needed to support data retention, according to available resources, current state, business needs, risks, and opportunities, shall be: 
- Justified
- Evaluated, recommended, approved, and selected
- Planned for deployment based on a prioritized roadmap
- Acquired (for third-party solutions) 
- Designed (customization, integration, or build)
- Documented and communicated/socialized to all relevant stakeholders. Socialization shall include, ahead of implementation, the preparation of training/change management materials and activities to ensure smooth deployment of selected solutions with minimal disruption of existing processes "
80,OP2121,"Implementation of metadata management solutions for data retention, lineage and traceability | "
81,OP2122,Verification of timely resolution of data retention issues | 
82,OP2200,"Periodic review of project data against retention schedules | Reviewing, on a regular basis, the project's data against the retention schedule to ensure that data is not retained longer than it should"
83,OP2123,Periodic review of records against retention schedules | 
84,OP2124,Identification of records to be retained beyond schedule | 
85,OP2125,"Definition of data disposal method | Capability to identify and document the best method of data disposal based on the target data's prescribed retention periods (method specification such as destruction, archiving or combined). The rationale for the specified method of disposal shall be based on any relevant legal, regulatory and ethical constraints"
86,OP2132,Definition of data disposal sessions | 
87,OP2357,"Design and implementation of data disposal processes | Design and processes shall cover all project data and system categories identified for that activity, in summary: 
- lifecycle environments : production, pre-production, development, test, sandboxes
- structured (ex. database fields), partially structured / unstructured data (ex. e-mails, Office or pdf documents, Sharepoint content, social media content)
- electronic and paper (non-digitized) data : For paper data, just as for electronic data, destruction procedures and processes shall also specify relevant standards (ex. ISO), physical destruction methods, parameters and schedules
- data in a variety of containers: files, databases, reports, dashboards, systems and applications (including ETL, data integration, AI, BI/Analytics, Data Ingestion and other tools, as well as in-house or commercial applications consuming and producing the data)
- Metadata : security (ex. logs), software (ex. ORM mappings, service interfaces),  traceability and operational metadata, identity/access management metadata, semantic metadata (ex. business data definitions; business rule definitions), data models, other architecture/design documents, business requirement documents, etc.) "
88,OP2126,"Development of data disposal design and processes | Design and processes shall cover all data and system categories identified for that activity, in summary: 
- lifecycle environments : production, pre-production, development, test, sandboxes
- structured (ex. database fields), partially structured / unstructured data (ex. e-mails, Office or pdf documents, Sharepoint content, social media content)
- electronic and paper (non-digitized) data : For paper data, just as for electronic data, destruction procedures and processes shall also specify relevant standards (ex. ISO), physical destruction methods, parameters and schedules
- data in a variety of containers: files, databases, reports, dashboards, systems and applications (including ETL, data integration, AI, BI/Analytics, Data Ingestion and other tools, as well as in-house or commercial applications consuming and producing the data)
- Metadata : security (ex. logs), software (ex. ORM mappings, service interfaces),  traceability and operational metadata, identity/access management metadata, semantic metadata (ex. business data definitions; business rule definitions), data models, other architecture/design documents, business requirement documents, etc.) "
89,OP2127,"Approval of data disposal methods | Approval of data disposal methods is required to ensure they comply to regulatory and business requirements as well as to ensure its relevance for the type, volume, sensitivity of data"
90,OP2128,"Definition of roles and responsibilities for data disposal implementation | Roles and responsibilities shall be assigned, documented, approved, and adopted to: 
 - Maintain documentation of, and socialize the design
- Evolve the design based on change requests, evolution of retention-relevant context (business needs, resources, legal and regulatory requirements) and impact/resource constraints/change management issues
- Oversee and continually monitor the implementation of the design; ensure coordination between design, implementation, project management, and operational support stakeholders, as well as the stakeholders responsible for data governance and monitoring the implementation of Data Retention Policy"
91,OP2129,"Implementation of data disposal processes | Capability to implement data disposal processes as required by regulation, law and retention schedule. Data disposal processes shall be appropriate for the sensitivity of data being disposed and shall be disposed in a manner to restrict any chance of re-use or re-identification where appropriate."
92,OP2130,Approval of data disposal sessions | Approval of data disposal is required before and after the disposal as it ensures adherence to regulatory requirements and retention schedules. Approval prior to disposal ensures that valuable data or data that must be retained by law is not disposed and approval following the disposal ensures that the data cannot be re-used.
93,OP76,"Definition of data classification guidelines and procedures | Unique identifications, classifications and taxonomies are a foundational concept and is a required aspect for regulatory reporting, risk analysis and other internal analytics. Unique identification is a core foundational tenet of DM that is governed by policy and enforced by standards."
94,OP77,Definition of roles and responsibilities related to data classification | 
95,OP2022,"Definition of data handling procedures for classification levels | Definition of data handling procedures is necessary to understand what additional security measures are required when handling sensitive data. The data handling procedures must outline controls for data access, treatment and management in each data lifecycle stage for each information sensitivity label. Therefore, it must include the required controls for key lifecycle steps such as collection, processing, access, transformation, disclosure, retention, archiving, disposal for each defined sensitivity level. Data handling procedures must comply to in-scope regulatory requirements."
96,OP2071,Definition of business rules for consistent data classification | There must be rules in place to ensure consistent application of order of precedence for information sensitivity classification. The order of precedence determines that the higher level applies when a conflict arises.
97,OP2072,Definition of business rules for classification of data element combinations | Business rules that specify how the classifications apply to combinations and aggregations of individually classified data are defined and approved. Some combinations of data elements will have a collective sensitivity that is greater than the individual data elements.
98,OP2073,"Definition of business rules for unclassified data management | An organization must define rules for setting default classification for new data elements and any future data changes to achieve this. In addition, rules must be established on how to handle unclassified data."
99,OP2074,Definition of change management guidelines for data classification | Definition of principles and guidelines that anticipate changes to data classification at some point in the data lifecycle. These guidelines shall outline the process to modify the assigned classification as well as the roles and responsibilities involved in the process. 
100,OP2077,Automation of data classification | Automating the information sensitivity classification processes promotes consistency of classifications and is supported by technology. Automating classification enables the automatic detection and assignment of data elements being ingested which greatly improves the quality and consistency of information sensitivity classification.
101,OP2078,Validation of automated classification processes | Validation of automated classification processes must be done periodically to ensure the accuracy and consistency of automated classification algorithms. The stakeholder responsible for validating the assigned classification must have the authority to modify the classification. 
102,OP78,"Establishment of data classification schema  | Definition of a metadata model should include a data classification schema that allows identification of data flagged for factors such as privacy, sensitive data, consent requirements, licensed rights, and ethical usages."
103,OP1957,"Establishment of data identification scheme | Establishment of data identification scheme is required for data factors of input such as Customer ID, Legal Identify ID and Product ID. Data identification must be implented to define and assign unique identifiers for critical business elements"
104,OP2070,Establishment of data taxonomy schemes | Establishment of data taxonomy schemes is critical to establishing a common definition and language of data organization-wide and are required to ensure the data's proper use. Taxonomies define the relationship of business elements within a data domain. 
105,OP79,"Provision of training to personnel on data classification | Process, responsibilities and tools definition and enforcement for communicating data classification standards within the appropriate audience"
106,OP2075,Implementation of classification schemes across data assets | An information sensitivity label must be assigned to all individual data elements and collections and aggregations of data elements where possible.
107,OP80,Implementation of mechanisms to monitor data classification usage | Implementation of a process that monitor adherance with the defined classification schema. This mechanism must should validate the classification applied to data and should monitor the alignment of data classification across linked processes
108,OP2076,"Modification of data classification | Modification of data classification is critical to ensure that data is handled appropriate to its level of sensitivity, value and criticality to the organization. It is important to reevaluate the classification assigned to data to see whether the classification is still appropriate based on changes to legal and contractual obligations as well as changes in the use and value of the data to the organization. Required changes must be able to be brought by the stakeholder reviewing the classification when required changes are detected."
109,OP81,Periodical audit of compliance to data classification schema | Implementation of a process that audit periodically the compliance to the defined data classification schema
110,OP128,Access to data classification | Definition and establishment of a process to periodically review that access to personal information classification follows the established guidelines
111,OP129,"Definition of enterprise guidelines for access to data classification | Definition of standard and shared guidelines upon which personal information should be accessed (circumstances, authority,…)"
112,OP130,Attestation that project resources have access to enterprise data classification | Definition and establishment of a process to periodically review that access to personal information classification follows the established guidelines
113,OP82,"Definition of ""Corporate Information Asset"" categories and classification procedures | "
114,OP83,"Definition of ""restricted data"" categories and classification procedures | "
115,OP84,"Definition of ""Privacy Level"" attributes and classification guidelines | "
116,OP85,"Management of ""Privacy Level"" attributes in Business Glossary | Definition and enforcement of mechanisms to assign privacy attributes to information as it is stored, transmitted and processed."
117,OP86,"Periodic or triggered review of ""Privacy Level"" classification | "
118,OP87,"Tagging of data (in systems) with ""Privacy Level"" attribute | "
119,OP88,"Definition of ""Ethical Sensibility"" attributes and classification guidelines | Definition of standard and shared guidelines upon which ethical sensitive business terms should be managed"
120,OP89,"Management of ""Ethical Sensibility"" attributes in Business Glossary | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
121,OP90,"Periodic or triggered review of ""Ethical Sensibility"" classification | "
122,OP91,"Tagging of data (in systems) with ""Ethical Sensibility"" attribute | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
123,OP92,"Identification of data that must be managed as ""Medical Data"" | "
124,OP93,"Definition of ""Medical Data"" attributes and classification guidelines | Definition of standard and shared guidelines upon which ethical sensitive business terms should be managed"
125,OP94,"Management of ""Medical Data"" attributes in Business Glossary | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
126,OP95,"Periodic or triggered review of ""Medical Information"" classification | "
127,OP96,"Tagging of data (in systems) with ""Medical Information"" attribute | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
128,OP97,"Identification of data that must be managed as ""Special category of data"" | "
129,OP98,"Definition of ""Special categories of data"" attributes and classification guidelines | Definition of standard and shared guidelines upon which ethical sensitive business terms should be managed"
130,OP99,"Management of ""Special categories of data"" attributes in Business Glossary | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
131,OP100,"Periodic or triggered review of ""Special categories of data"" classification | "
132,OP101,"Tagging of data (in systems) with ""Special categories of data"" attribute | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
133,OP102,"Identification of data that must be managed as ""Data relating to criminal conviction"" | "
134,OP103,"Definition of ""Data relating to criminal conviction"" attributes and classification guidelines | Definition of standard and shared guidelines upon which ethical sensitive business terms should be managed"
135,OP104,"Management of ""Data relating to criminal conviction"" attributes in Business Glossary | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
136,OP105,"Periodic or triggered review of ""Data relating to criminal conviction"" classification | "
137,OP106,"Tagging of data (in systems) with ""Data relating to criminal conviction"" attribute | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
138,OP107,"Identification of data that must be managed as ""Public personal information"" | "
139,OP108,"Definition of ""Public Personal Information"" attributes and classification guidelines | "
140,OP109,"Management of ""Public Personal Information"" attributes in Business Glossary | Definition and enforcement of of ""ethical sensibility"" attributes to use within the businee glossary to qualify ethical sensitive business terms"
141,OP110,"Periodic or triggered review of ""Public Personal Information"" classification | "
142,OP111,Tagging project data fields with data classification attributes | 
143,OP112,"Definition of data classification attribute value | Definition of data classification attributes that allows identification of data flagged for factors such as privacy, consent requirements, licensed rights"
144,OP114,Definition of enterprise guidelines for classification of AI Models | 
145,OP115,Classification of Models | Process and responsibilities definition and enforcement for data classification approval
146,OP116,Definition of metadata classification schema for ethical sensitive data | Definition of a metadata model should include a data classification schema that allows identification of data flagged as ethical sensitive data
147,OP117,Definition of procedures for data awaiting ethical sensitivity classification | Definition and enforcement of process and procedures on how to handle potential ethical sensitive data that hasn't been classified as such already
148,OP118,"Communication of metadata differentiating ethical sensitive data to personnel | Process, responsibilities and tools definition and enforcement for communicating ethical sensitive data classification standards within the appropriate audience"
149,OP119,Classification of ethical sensitive data | Definition of standard and shared guidelines upon which data will be classified as ethical sensitive data
150,OP120,Analysis of dataset to identify ethical sensitive data | Process to review the ethical data assessment conducted when analyzing data sets with ethical sensitive data or when producing reports containing ethical sensitive data
151,OP121,"Request for the classification of data used by a project (if missing) | The project members can place a request for the classification of data used by a project, when such classification is missing"
