,New Code,OP,Description,Concatenated
17,OP2034,Assess the current state of DM initiatives,The assessment of the current-state of the organization's data management capabilities is required to accurately define a strategy and roadmap to achieve the organization's target state for data management. The assessment should be done by independent stakeholders and should cover data management capabilities across the data lifecycle. ,Assess the current state of DM initiatives The assessment of the current-state of the organization's data management capabilities is required to accurately define a strategy and roadmap to achieve the organization's target state for data management. The assessment should be done by independent stakeholders and should cover data management capabilities across the data lifecycle. 
18,OP2035,Define gap closure roadmap,The definition of a gap closure roadmap must clearly define how the organization will go from its current state to its target state in terms of data management capabilities. It must include the key activities to be implemented as well as metrics and milestones to allow proper oversight.,Define gap closure roadmap The definition of a gap closure roadmap must clearly define how the organization will go from its current state to its target state in terms of data management capabilities. It must include the key activities to be implemented as well as metrics and milestones to allow proper oversight.
19,OP1931,Define data management deployment strategy,"The Data Management Deployment Strategy defines the prioritized business objectives and their requirements for DM. The strategy includes a vision of the DM initiative target-state, current-state gap analysis, prioritized roadmap and execution resource requirements.","Define data management deployment strategy The Data Management Deployment Strategy defines the prioritized business objectives and their requirements for DM. The strategy includes a vision of the DM initiative target-state, current-state gap analysis, prioritized roadmap and execution resource requirements."
20,OP2036,Review and approve data management deployment strategy,The data management deployment strategy must be reviewed and approved prior to being implemented. This approval extends to the gap closure roadmap to ensure that the planned activities and resources are aligned with the DM initiative's budget and business objectives. ,Review and approve data management deployment strategy The data management deployment strategy must be reviewed and approved prior to being implemented. This approval extends to the gap closure roadmap to ensure that the planned activities and resources are aligned with the DM initiative's budget and business objectives. 
21,OP1974,Define a DM policy and standards,"Policy and standards must reflect the basic principles of DM. Policy and standards must define how business, technology, and operations functions manage and control data. They address how data is acquired, managed, maintained and delivered throughout an organization.","Define a DM policy and standards Policy and standards must reflect the basic principles of DM. Policy and standards must define how business, technology, and operations functions manage and control data. They address how data is acquired, managed, maintained and delivered throughout an organization."
22,OP1975,Review and approve DM policy and standards,"Policy and standards must be shared and reviewed by stakeholders to ensure agreement, alignment, and buy-in. Policy and standards are vital for effective DG and should be subjected to a rigorous challenge process by stakeholders. DG must be aligned with and become integrated in the existing governance structures of the organization.","Review and approve DM policy and standards Policy and standards must be shared and reviewed by stakeholders to ensure agreement, alignment, and buy-in. Policy and standards are vital for effective DG and should be subjected to a rigorous challenge process by stakeholders. DG must be aligned with and become integrated in the existing governance structures of the organization."
23,OP1976,Audit adherence to DM policy and standards,Policy and standards must be supported by established audit processes and routines in partnership with Internal Audit. Lack of adherence to policy and standards must be elevated as a formal audit issue that requires resolution.,Audit adherence to DM policy and standards Policy and standards must be supported by established audit processes and routines in partnership with Internal Audit. Lack of adherence to policy and standards must be elevated as a formal audit issue that requires resolution.
24,OP1944,Establish the Office of Data Management (ODM),"The ODM includes the organizational team responsible for promoting the DM initiative at the various operating levels of the organization. A formal office is necessary to create policy, implement standards, coordinate governance, and manage organizational collaboration across control functions.","Establish the Office of Data Management (ODM) The ODM includes the organizational team responsible for promoting the DM initiative at the various operating levels of the organization. A formal office is necessary to create policy, implement standards, coordinate governance, and manage organizational collaboration across control functions."
25,OP2451,Establish data management processes for the context of the project,"Defining, documenting and communicating data management processes in accordance with the context of the project","Establish data management processes for the context of the project Defining, documenting and communicating data management processes in accordance with the context of the project"
26,OP1932,Define DMP strategy and approach,"The strategy and approach must be defined for the DMP. Once established, it must be formally empowered by senior management and its role communicated to all stakeholders.","Define DMP strategy and approach The strategy and approach must be defined for the DMP. Once established, it must be formally empowered by senior management and its role communicated to all stakeholders."
27,OP2037,Review and approve DMP strategy and approach,"The data management program strategy and approach must be reviewed and approved prior to being implemented. Once established, the strategy and approach must be formally empowered by senior management and its role communicated to all stakeholders. ","Review and approve DMP strategy and approach The data management program strategy and approach must be reviewed and approved prior to being implemented. Once established, the strategy and approach must be formally empowered by senior management and its role communicated to all stakeholders. "
28,OP2038,Define roles and responsibilities of the DMP function,The DM initiative will require the coordination of many projects across the organization or division. Resources may be shared. It is important to clearly define the roles and responsibilities within the DM Program function.,Define roles and responsibilities of the DMP function The DM initiative will require the coordination of many projects across the organization or division. Resources may be shared. It is important to clearly define the roles and responsibilities within the DM Program function.
29,OP2039,Define policies and procedures to enforce DMP compliance  ,Authority is granted to the DMP function to implement and enforce DM best practices via policy and standards. The DMP must define policies and procedures to enforce compliance with DM best practices and regulatory requirements.,Define policies and procedures to enforce DMP compliance   Authority is granted to the DMP function to implement and enforce DM best practices via policy and standards. The DMP must define policies and procedures to enforce compliance with DM best practices and regulatory requirements.
30,OP2040,Establish Project Management Office (PMO),"Program coordination must be formalized, appropriately staffed, funded and empowered to ensure alignment among the stakeholders and adherence to program deliverables. It is important that a PMO is established and appropriately staffed with adequate resources to manage the required workload of the DM initiative. The authority and responsibility of the PMO must be defined and communicated to all stakeholders.","Establish Project Management Office (PMO) Program coordination must be formalized, appropriately staffed, funded and empowered to ensure alignment among the stakeholders and adherence to program deliverables. It is important that a PMO is established and appropriately staffed with adequate resources to manage the required workload of the DM initiative. The authority and responsibility of the PMO must be defined and communicated to all stakeholders."
31,OP1933,Define formal DMP processes,"Formal processes must be established for the activities of the DMP. These processes align with the DM policy and standards of the organization and include procedures, tools and routines. The routines are required for steady-state operations. Routines include but are not limited to regular stakeholder meetings, planning sessions, status reporting, etc.","Define formal DMP processes Formal processes must be established for the activities of the DMP. These processes align with the DM policy and standards of the organization and include procedures, tools and routines. The routines are required for steady-state operations. Routines include but are not limited to regular stakeholder meetings, planning sessions, status reporting, etc."
32,OP1934,Integrate DMP concepts in DMS,The DMS must include concepts from each of the Framework Components integrated into a coherent strategy. The DMP function will incorporate the strategic concepts into a DMP strategy with required detail to support execution,Integrate DMP concepts in DMS The DMS must include concepts from each of the Framework Components integrated into a coherent strategy. The DMP function will incorporate the strategic concepts into a DMP strategy with required detail to support execution
33,OP1930,Define data usage strategy,"The data usage strategy defines how the organization intends to use data. The strategy includes the vision for the adoption and use of advanced analytics methods and tools like Machine Learning (ML), Artificial Intelligence (AI) and cognitive thinking. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes.","Define data usage strategy The data usage strategy defines how the organization intends to use data. The strategy includes the vision for the adoption and use of advanced analytics methods and tools like Machine Learning (ML), Artificial Intelligence (AI) and cognitive thinking. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes."
34,OP2676,Define roles and responsibilities specific to managing data and information throughout its lifecycle,Defining and creating the RACI matrix specific to managing data records and information throughout its life-cycle and informing involved stakeholders of their respective role and responsibilities ,Define roles and responsibilities specific to managing data and information throughout its lifecycle Defining and creating the RACI matrix specific to managing data records and information throughout its life-cycle and informing involved stakeholders of their respective role and responsibilities 
35,OP2033,Review data usage strategy for ethical considerations,"The approval of the data usage strategy must include a review of the ethical use and outcome of data being used. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes. If the use and/or outcome of the data being used is not ethical, the strategy must be revisited. ","Review data usage strategy for ethical considerations The approval of the data usage strategy must include a review of the ethical use and outcome of data being used. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes. If the use and/or outcome of the data being used is not ethical, the strategy must be revisited. "
36,OP2229,Document intended usage of data,,Document intended usage of data 
37,OP2230,Identify and evaluate restrictions on data usage,"Identifying, determining and documenting the restrictions on the data usage, which specify when and how data can be accessed and used","Identify and evaluate restrictions on data usage Identifying, determining and documenting the restrictions on the data usage, which specify when and how data can be accessed and used"
38,OP2231,Document data usage restrictions,"Documentation of the restrictions on the data usage, which specify when and how data can be accessed and used","Document data usage restrictions Documentation of the restrictions on the data usage, which specify when and how data can be accessed and used"
39,OP2227,Validate that data collection and/or usage is aligned with legitimate purpose,Monitoring and validating that data collection and/or usage is in alignment with legitimate purposes and contexts,Validate that data collection and/or usage is aligned with legitimate purpose Monitoring and validating that data collection and/or usage is in alignment with legitimate purposes and contexts
40,OP2713,Implement processes and technologies to ensure that data is collected and used in accordance with applicable laws and regulations,Establishing processes and implementing technological tools to trace and record data through the development and usage of the AI system,Implement processes and technologies to ensure that data is collected and used in accordance with applicable laws and regulations Establishing processes and implementing technological tools to trace and record data through the development and usage of the AI system
41,OP1935,Define program roadmaps aligned with DMS,"Program roadmaps must describe the steps required to attain the DM initiative’s target-state for its organizational structure and function. Roadmap topics include but are not limited to, governance structure; content management strategy; infrastructure design and data architecture.","Define program roadmaps aligned with DMS Program roadmaps must describe the steps required to attain the DM initiative’s target-state for its organizational structure and function. Roadmap topics include but are not limited to, governance structure; content management strategy; infrastructure design and data architecture."
42,OP1936,Review and approve program roadmaps,"It is essential that roadmaps be shared with stakeholders. Working with stakeholders during the development phases invites collaborative feedback and buy-in. The back-and-forth collaboration is essential if you want stakeholders to own the outcomes, deliverables and commitments.","Review and approve program roadmaps It is essential that roadmaps be shared with stakeholders. Working with stakeholders during the development phases invites collaborative feedback and buy-in. The back-and-forth collaboration is essential if you want stakeholders to own the outcomes, deliverables and commitments."
43,OP1937,"Develop project plans detailing deliverables, timelines, and milestones","Once roadmaps are agreed to and approved, they must be translated into tangible mechanisms for delivery. The project plans need to contain practical deliverables and reflect the priorities that were negotiated with stakeholders. They must be in alignment with approved budgets.","Develop project plans detailing deliverables, timelines, and milestones Once roadmaps are agreed to and approved, they must be translated into tangible mechanisms for delivery. The project plans need to contain practical deliverables and reflect the priorities that were negotiated with stakeholders. They must be in alignment with approved budgets."
44,OP2041,Review and approve project plans,"Once defined, project plans must be reviewed and approved to ensure alignment between deliverables, timelines and milestones with the organization's data management vision and strategy. ","Review and approve project plans Once defined, project plans must be reviewed and approved to ensure alignment between deliverables, timelines and milestones with the organization's data management vision and strategy. "
45,OP1939,Adopt a process optimization framework,A centralized capability is created to achieve process excellence and continuous improvement within the ODM,Adopt a process optimization framework A centralized capability is created to achieve process excellence and continuous improvement within the ODM
46,OP1938,Define standard DM processes,"The success of the DM initiative depends on repeatable execution of standard, sustainable and measurable DM processes. The enterprise DMP, working with the operating units DMP, is responsible for developing standard DM processes across the organization.","Define standard DM processes The success of the DM initiative depends on repeatable execution of standard, sustainable and measurable DM processes. The enterprise DMP, working with the operating units DMP, is responsible for developing standard DM processes across the organization."
47,OP2042,Assess quality control within DM process,"DM processes should be routinely monitored. Monitoring occurs on three levels. First, QC self-attestation where the stakeholders evaluate and assert they are following the DM processes. These QC self-assessments of the operating units DM processes must be periodically performed. ","Assess quality control within DM process DM processes should be routinely monitored. Monitoring occurs on three levels. First, QC self-attestation where the stakeholders evaluate and assert they are following the DM processes. These QC self-assessments of the operating units DM processes must be periodically performed. "
48,OP2043,Monitor quality assurance of DM process,"DM processes should be routinely monitored. Monitoring occurs on three levels. Second, QA by ODM, where the DM initiative works with stakeholders to validate compliance. QA monitoring must be performed for the operating units DM processes by the enterprise level ODM.","Monitor quality assurance of DM process DM processes should be routinely monitored. Monitoring occurs on three levels. Second, QA by ODM, where the DM initiative works with stakeholders to validate compliance. QA monitoring must be performed for the operating units DM processes by the enterprise level ODM."
49,OP1940,Audit DM processes,"The DM policy must require the adoption of standard DM processes and tools across the organization. Routines should be established that include quality control (QC) self-assessments within the process, quality assurance (QA) monitoring from outside the process and formal audit performed by Internal Audit.","Audit DM processes The DM policy must require the adoption of standard DM processes and tools across the organization. Routines should be established that include quality control (QC) self-assessments within the process, quality assurance (QA) monitoring from outside the process and formal audit performed by Internal Audit."
50,OP2044,Establish formal DM training programs,Behavior and culture change are required for effective DM. Formal training is needed to ensure those with data responsibility are operating in accordance with established data policy and standards.,Establish formal DM training programs Behavior and culture change are required for effective DM. Formal training is needed to ensure those with data responsibility are operating in accordance with established data policy and standards.
51,OP1941,Define program metrics to track progress,"Develop program metrics for Key Performance Indicators (KPIs) and Key Risk Indicators (KRIs) to track the progress of the implementation and adoption of the DM initiative. Include other critical metrics that demonstrate the health and wellness of the DM initiative. The metrics include program capabilities such as organizational structure rollout, skill-set hiring, leader appointments, policy adoption and standards implementation.","Define program metrics to track progress Develop program metrics for Key Performance Indicators (KPIs) and Key Risk Indicators (KRIs) to track the progress of the implementation and adoption of the DM initiative. Include other critical metrics that demonstrate the health and wellness of the DM initiative. The metrics include program capabilities such as organizational structure rollout, skill-set hiring, leader appointments, policy adoption and standards implementation."
52,OP2045,Review and approve program metrics,"Once defined, the program metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of program metrics to the business to ensure that metrics are relevant for the executive team.","Review and approve program metrics Once defined, the program metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of program metrics to the business to ensure that metrics are relevant for the executive team."
53,OP2046,Report program metrics to track progress,"Program metrics are designed to track progress against the implementation plans for the DM initiative. This is the implementation of metrics at the end-user level. This is designed to provide evidence of progress against the DMP roadmap. When you can validate that you are on track, that is a valuable tool for communication across stakeholders including executive management.","Report program metrics to track progress Program metrics are designed to track progress against the implementation plans for the DM initiative. This is the implementation of metrics at the end-user level. This is designed to provide evidence of progress against the DMP roadmap. When you can validate that you are on track, that is a valuable tool for communication across stakeholders including executive management."
54,OP1942,Define outcome metrics to track against business objectives  ,"Outcome metrics are measurements of the net effect of the DM initiative. Define metrics that cover the stated business objectives that align to the data, data usage and DM deployment strategies in the DM strategy. Examples of outcome metrics include lower operational failures, streamlined reporting, reduced number of data reconciliations, improved data discovery, improved access to critical data and the use of data is appropriate and ethical.","Define outcome metrics to track against business objectives   Outcome metrics are measurements of the net effect of the DM initiative. Define metrics that cover the stated business objectives that align to the data, data usage and DM deployment strategies in the DM strategy. Examples of outcome metrics include lower operational failures, streamlined reporting, reduced number of data reconciliations, improved data discovery, improved access to critical data and the use of data is appropriate and ethical."
55,OP2047,Review and approve outcome metrics,"Once defined, the outcome metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of outcome metrics to the business to ensure that metrics are relevant for the executive team.","Review and approve outcome metrics Once defined, the outcome metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of outcome metrics to the business to ensure that metrics are relevant for the executive team."
56,OP2048,Report outcome metrics against business objectives,Outcome metrics must be used to inform and drive program decisions and modifications. Outcome metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind outcome metrics before reporting them.,Report outcome metrics against business objectives Outcome metrics must be used to inform and drive program decisions and modifications. Outcome metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind outcome metrics before reporting them.
57,OP1943,Define process metrics to drive continuous improvement,"A core aspect of business process optimization is establishing metrics to measure the performance of that process. When the process is not performing as designed there is an opportunity for process improvement. The metrics are intended to be an early alert system to identify process failures. Additionally, the metrics often support assessing the impact and priority of an underperforming process.","Define process metrics to drive continuous improvement A core aspect of business process optimization is establishing metrics to measure the performance of that process. When the process is not performing as designed there is an opportunity for process improvement. The metrics are intended to be an early alert system to identify process failures. Additionally, the metrics often support assessing the impact and priority of an underperforming process."
58,OP2049,Review and approve process metrics,"Once defined, the process metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of process metrics to the business to ensure that metrics are relevant for the executive team.","Review and approve process metrics Once defined, the process metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of process metrics to the business to ensure that metrics are relevant for the executive team."
59,OP2050,Report process metrics,Process metrics must be used to inform and drive program decisions and modifications. Process metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind process metrics before reporting them.,Report process metrics Process metrics must be used to inform and drive program decisions and modifications. Process metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind process metrics before reporting them.
60,OP2988,"Establish an approved Enterprise Information Management solution for documenting business activities, decisions, and processes","Establish an approved Enterprise Information Management solution to document business activities, decisions, and processes according to predetermined standards.","Establish an approved Enterprise Information Management solution for documenting business activities, decisions, and processes Establish an approved Enterprise Information Management solution to document business activities, decisions, and processes according to predetermined standards."
61,OP2989,Establish a mechanism for tracking and reporting on adoption and usage of the Enterprise Information Management solution,Create and implement a system to track and report the adoption and usage of the Enterprise Information Management solution.,Establish a mechanism for tracking and reporting on adoption and usage of the Enterprise Information Management solution Create and implement a system to track and report the adoption and usage of the Enterprise Information Management solution.
62,OP2990,Develop a training plan to ensure users are properly trained on the Enterprise Information Management System,Develop a comprehensive training plan to ensure users have the necessary skills to effectively use the Enterprise Information Management System.,Develop a training plan to ensure users are properly trained on the Enterprise Information Management System Develop a comprehensive training plan to ensure users have the necessary skills to effectively use the Enterprise Information Management System.
63,OP1988,Establish a data control environment,To establish the DCE the holistic execution of DM initiative is required at each operating level of the organization.,Establish a data control environment To establish the DCE the holistic execution of DM initiative is required at each operating level of the organization.
64,OP1989,Define DM stakeholder roles & responsibilities,All stakeholders critical to the success of the DM initiative must be identified. Roles and responsibilities must be communicated. Active engagement by critical stakeholders is operational and evidenced.,Define DM stakeholder roles & responsibilities All stakeholders critical to the success of the DM initiative must be identified. Roles and responsibilities must be communicated. Active engagement by critical stakeholders is operational and evidenced.
65,OP1990,Demonstrate DM capabilities alignment across organization,To achieve the DCE the full set of DM capabilities must be operational and applied against a data domain. It is important to understand the differences between planned and operational initiatives. Only operating capabilities contribute to the functioning DCE.,Demonstrate DM capabilities alignment across organization To achieve the DCE the full set of DM capabilities must be operational and applied against a data domain. It is important to understand the differences between planned and operational initiatives. Only operating capabilities contribute to the functioning DCE.
66,OP1991,Demonstrate alignment between control function and DM policy and standards,DM controls and best practices must be formally included in cross-organization control function policies and standards to ensure collaboration and alignment.,Demonstrate alignment between control function and DM policy and standards DM controls and best practices must be formally included in cross-organization control function policies and standards to ensure collaboration and alignment.
67,OP1992,Monitor collaboration between DM control functions,In order to achieve collaboration among all the control functions that have requirements for data or DM a structure of regular interaction is required.,Monitor collaboration between DM control functions In order to achieve collaboration among all the control functions that have requirements for data or DM a structure of regular interaction is required.
68,OP1993,Apply controls to data entering/exiting the ecosystem,All new data introduced into or delivered out of the data ecosystem must be subject to cross-organization control standards to ensure organization-wide compliance.,Apply controls to data entering/exiting the ecosystem All new data introduced into or delivered out of the data ecosystem must be subject to cross-organization control standards to ensure organization-wide compliance.
69,OP1997,Define analytics strategy and approach,"The Analytics strategy must be defined and formally empowered by senior management, and the role of the Analytics function must be communicated to stakeholders","Define analytics strategy and approach The Analytics strategy must be defined and formally empowered by senior management, and the role of the Analytics function must be communicated to stakeholders"
70,OP1999,Define analytics operating model,An operating model is defined to describe how Analytics will be structured within the organization. It establishes the scope and coverage of the different parts of Analytics and designs how they should work together to serve the needs of the business.,Define analytics operating model An operating model is defined to describe how Analytics will be structured within the organization. It establishes the scope and coverage of the different parts of Analytics and designs how they should work together to serve the needs of the business.
71,OP2000,Establish an analytics funding model,The Analytics funding model addresses the resources required for stakeholders to implement and sustain the Analytics function. The funding model aligns with the organization-wide funding process. It is enforced through the Analytics governance process.,Establish an analytics funding model The Analytics funding model addresses the resources required for stakeholders to implement and sustain the Analytics function. The funding model aligns with the organization-wide funding process. It is enforced through the Analytics governance process.
72,OP1998,Define analytics categorization and use-cases terminology,"The spectrum of analytics (e.g., MI (Management Information), BI (Business Intelligence), ML, or Descriptive, Diagnostic, Predictive, Prescriptive) employed by the organization is defined. Names and descriptions of the different types of analytics relevant to the organization are formalized in a categorization system. This system is used in statements of the scope of responsibility in the Analytics operating model. It provides a common language for the organization to refer to analytics and helps avoid confusion and misunderstanding.","Define analytics categorization and use-cases terminology The spectrum of analytics (e.g., MI (Management Information), BI (Business Intelligence), ML, or Descriptive, Diagnostic, Predictive, Prescriptive) employed by the organization is defined. Names and descriptions of the different types of analytics relevant to the organization are formalized in a categorization system. This system is used in statements of the scope of responsibility in the Analytics operating model. It provides a common language for the organization to refer to analytics and helps avoid confusion and misunderstanding."
73,OP2003,Identification of dependencies between analytics and business architecture,"Each organization adopts a unique business architecture. This architecture defines its structure, governance, processes, and information for decision making. The business architecture of the organization should inform the organizations’ analytical requirements. Those accountable for delivering analytics solutions are also accountable for engaging the business stakeholders, understanding the impact of business requirements on analytics, aligning analytical requirements, and ensuring that these requirements are delivered.","Identification of dependencies between analytics and business architecture Each organization adopts a unique business architecture. This architecture defines its structure, governance, processes, and information for decision making. The business architecture of the organization should inform the organizations’ analytical requirements. Those accountable for delivering analytics solutions are also accountable for engaging the business stakeholders, understanding the impact of business requirements on analytics, aligning analytical requirements, and ensuring that these requirements are delivered."
74,OP2004,Align the Analytics roadmap with the business strategy,The business strategy drives the Analytics roadmap and activities. This fact keeps the focus on Analytics investments and how they can maximize business outcomes.,Align the Analytics roadmap with the business strategy The business strategy drives the Analytics roadmap and activities. This fact keeps the focus on Analytics investments and how they can maximize business outcomes.
75,OP2005,Measure and report analytics initiative impact ,The objective of Analytics is to provide insights that are used to deliver outcomes of business value. The organization must routinely measure the impact and effectiveness of their analytics solutions.,Measure and report analytics initiative impact  The objective of Analytics is to provide insights that are used to deliver outcomes of business value. The organization must routinely measure the impact and effectiveness of their analytics solutions.
76,OP2012,Design platform suitable for Analytics operating model,"The analytics platform is a combination of tools, applications, and infrastructure that enables analytics to be created and executed in an organization. It must have the necessary capabilities to support the way that Analytics teams are structured and operate, and the way they engage with the business and stakeholders. It must enable Analytics to develop, test, govern, socialize, maintain, and mature analytical models. The platform must be flexible enough to allow a variety of individuals to interact appropriately with the system. These interactions must implement any required segregation of duties and the ability to set access rights to different users of the system. Beyond the Analytics teams, business users will need to validate and utilize the results of the analytics models.","Design platform suitable for Analytics operating model The analytics platform is a combination of tools, applications, and infrastructure that enables analytics to be created and executed in an organization. It must have the necessary capabilities to support the way that Analytics teams are structured and operate, and the way they engage with the business and stakeholders. It must enable Analytics to develop, test, govern, socialize, maintain, and mature analytical models. The platform must be flexible enough to allow a variety of individuals to interact appropriately with the system. These interactions must implement any required segregation of duties and the ability to set access rights to different users of the system. Beyond the Analytics teams, business users will need to validate and utilize the results of the analytics models."
77,OP2013,Establish an analytics version control regime,There must be controlled management of change to models developed within the analytics platform and a documented process for recording the changes. Effective governance and change control of the models must be in place and must be auditable.,Establish an analytics version control regime There must be controlled management of change to models developed within the analytics platform and a documented process for recording the changes. Effective governance and change control of the models must be in place and must be auditable.
78,OP2014,Define and implement data obfuscation strategies,"Data obfuscation strategies can help to ensure that data used during the development phases of models comply with the appropriate regulatory regimes governing the organization and best practices regarding data privacy. Data obfuscation also applies to commercially sensitive confidential data, such as company results before their release. The obfuscation capability is important for non-production testing environments and, in some cases, can also be relevant to production environments. Where external professional testers have access to test environments, non-production environments must store the minimum amount of personally identifiable or commercially sensitive information.","Define and implement data obfuscation strategies Data obfuscation strategies can help to ensure that data used during the development phases of models comply with the appropriate regulatory regimes governing the organization and best practices regarding data privacy. Data obfuscation also applies to commercially sensitive confidential data, such as company results before their release. The obfuscation capability is important for non-production testing environments and, in some cases, can also be relevant to production environments. Where external professional testers have access to test environments, non-production environments must store the minimum amount of personally identifiable or commercially sensitive information."
